Texte,Catégorie,Page
" La + utilisée pour évaluer le retentissement sur les activités de la vie quotidienne de la dyspnée
chronique, peu sensible au changement (peu utilisé pour juger d’une dégradation ou d’une
amélioration).
Complétée par le score DIRECT en 10 questions.
- Stade 0 : je suis essoufflé uniquement pour un effort important.
- Stade 1 : je suis essoufflé quand je me dépêche à plat ou quand je monte une pente légère.
- Stade 2 : je marche moins vite que les gens de mon âge à plat ou je dois m’arrêter quand je
marche à mon pas à plat.
- Stade 3 : je m’arrête pour respirer après 90 mètres ou après quelques minutes à plat.
- Stade 4 : je suis trop essoufflé pour quitter ma maison ou je suis essoufflé rien qu’à m’habiller",Quantification : échelles MRC de la dyspnée,1
"- Tachypnée : > 25/min chez l’adulte.
- Recrutement des groupes musculaires inspiratoires et expiratoires : tirage, expiration active, battement des ailes du nez","Signes de gravité : Clinique, signe de lutte",1
"Respiration abdominale paradoxale.
- Bradypnée extrême.
- Cyanose.
- Retentissement neurologique : altération de la vigilance.","Signes de gravité : Clinique, signe de faillite",1
"- Cœur pulmonaire aigu.
- Hypotension artérielle.
- Marbrures.
- Peau froide.
- Oligurie.","Signes de gravité : Clinique, Défaillance
hémodynamique",1
"Acidose respiratoire non compensée : PaCO2 ≥ 45 mmHg + pH < 7,35.",Signes de gravité : Gazométrique,1
"NFS : éliminer une anémie.
- ECG : recherche d’une cardiopathie.
- Radiographie thoracique d’orientation étiologique (distension, syndrome interstitiel, cardiomégalie) :
systématique.
- BNP ou NT-proBNP si suspicion de cardiopathie",Dyspnée chronique : Examen complémentaires de 1ère intention,3
"Spirométrie avec courbe débit volume (TVO : VEMS/CV < 0,7).
- Réversible : asthme.
- Non réversible : BPCO (puis pléthysmographie pour recherche d’une distension thoracique : CPT >
120 % des valeurs prédites).","Dyspnée chronique : Examen complémentaires de 2ème intention, EFR",3
"Pléthysmographie (CPT < 80 % des valeurs prédites).
- Altération de la diffusion (TLCO < 0,7) : pneumopathie infiltrante diffuse.
- Diffusion normale : pathologie de la pompe ventilatoire comme les maladies neuromusculaires
ou squelettiques (puis évaluation de la force des muscles respiratoires avec la pression maximale
inspiratoire/expiratoire).","Dyspnée chronique : Examen complémentaires de 2ème intention, EFR",3
"- Recherche d’une IRC.
- Orientation vers une pathologie de l’échangeur pulmonaire (effet shunt gazométrique ou
augmentation de la différence alvéolo-artérielle) ou vers une pathologie de la pompe ventilatoire
(hypoventilation alvéolaire).
- Diagnostic du syndrome obésité hypoventilation (IMC > 30 kg/m², PaCO2 > 45 mmHg en
l’absence d’autre cause d’hypoventilation alvéolaire).","Dyspnée chronique : Examen complémentaires de 2ème intention, Gaz du sang",3
"Exploration fonctionnelle d’exercice incrémentale (EFXi) sur cycloergomètre avec mesures
concomitante des symptômes et des réponses fonctionnelles.
- Test de marche 6 minutes.
- Test de lever de chaise de 3 minutes.
= Baisse significative si ≥ 3 % de SpO2.","Dyspnée chronique : Examen complémentaires de 2ème intention, Explorations fonctionnelles d’exercice",4
"- Arguments en faveur d’une cardiopathie.
- Évaluation de la PAPS (HTAP).
- Et cathétérisme cardiaque","Dyspnée chronique : Examen complémentaires de 2ème intention, Échographie cardiaque",4
"- Non injectée en cas d’éléments en faveur d’une bronchopathie chronique ou d’une
pneumopathie infiltrante diffuse.
- Injectée en cas d’orientation vers une cause vasculaire (embolie pulmonaire, hyper- tension
pulmonaire, shunt droit-gauche).","Dyspnée chronique : Examen complémentaires de 2ème intention, TDM thoracique",4
"- Questionnaire CAT sur la qualité. De vie liée à la santé respiratoire.
- Questionnaire Anxiété – Dépression ubiquitaire.",Dyspnée chronique : Répercussion,4
"Âge, tabagisme, facteurs de risque cardiovasculaires, allergie",Dyspnée chronique : étiologie : orientation : contexte,4
"- Horaire : nocturne, diurne, saisonnier, variabilité.
- Position : orthopnée, antépnée, platypnée.
- Facteurs déclenchants : effort, exposition à un allergène, au froid, infection, écart de régime
hyposodé, arrêt d’un traitement de fond.",Dyspnée chronique : étiologie : orientation : circonstances,4
"- Anomalies pariétales : obésité, scoliose.
- Signes d’insuffisance respiratoire chronique : hypertrophie des SCM, respiration à lèvres
pincées, signe de Hoover.
- Signes de dysfonction diaphragmatique : antépnée, asynchronisme thoraco-abdominal
chronique (respiration abdominale paradoxale).
- Autres symptômes respiratoires : toux, expectorations, douleur thoracique.
- Anomalies auscultatoires : crépitants, sibilants, râles bronchiques.
- Anomalies cardiaques : douleur angineuse, palpitations, signes d’insuffisance cardiaque
droite, souffle cardiaque.
- Signes extra-respiratoires : anomalies cutanées, anomalies articulaires, anomalies
neurologiques (amyotrophie, myalgies, fasciculations, déficit musculaire).",Dyspnée chronique : étiologie : orientation : signes associés,4
"- BPCO : fumeur/ancien fumeur, ± associé à une bronchite chronique (toux, expectoration,
râles bronchiques), TVO non réversible, emphysème au TDM  Dyspnée avec sibilants.
- Asthme : terrain jeune atopique, non-fumeur, TVO réversible, variabilité des symptômes
(surtout nocturnes)  Dyspnée avec sibilants.",Dyspnée chronique : étiologie : maladie pulmonaire chronique : tvo,4
"Atteinte de la pompe ventilatoire ou de la commande centrale :
- Hypoventilation pariétale : cyphoscoliose, grande obésité  Auscultation normale.
- Pathologie neuromusculaire : lésion spinale, myopathie, SLA, centrale  Auscultation
normale.
- Pneumopathie interstitielle diffuse : toux sèche, recherche de maladie systémique 
Dyspnée avec crépitants télé-inspiratoires.
- Pneumoconioses : maladies pulmonaires non néoplasiques résultant de l'inhalation de
particules (asbestose).
- Séquelles pleurales post-tuberculeuses.
- Paralysie phrénique.",Dyspnée chronique : étiologie : maladie pulmonaire chronique : tvr,4
"- Insuffisance cardiaque (toute cause) : ischémique, hypertrophique, hypertensive, myocardiopathie
restrictive, valvulopathie  Dyspnée avec crépitants télé-inspiratoires.
- Péricardite constrictive.
- Troubles du rythme ou de la conduction.",Dyspnée chronique : étiologie : maladie cardiaque chronique,4
"- Dyspnée à tout âge avec examen cardiopulmonaire pouvant être normal et sans
modification franche de la radio.
- Diagnostic à évoquer à l’échocardiographie : élévation des pressions pulmonaires.
- Diagnostic confirmé par le cathétérisme cardiaque droit.
- Pronostic réservé, mais amélioré par les antagonistes des récepteurs de l’endothéline
(Bosentan).",Dyspnée chronique : étiologie : Hypertension pulmonaire : hypertension artérielle pulmonaire,4
"- Complication grave de la maladie thrombo-embolique (à la suite d’un/plusieurs épisodes
d’embolie pulmonaire avec persistance d’une hypertension pulmonaire précapillaire).",Dyspnée chronique : étiologie : Hypertension pulmonaire : hypertension pulmonaire post-embolique,4
"- Anémie chronique : saignement occulte, hémolyse chronique…
- Intoxication à l’oxyde de carbone (CO).
- Méthémoglobinémie : intoxication aux nitrates/nitrites, engrais azoté, congénitale.
- Sulfhémoglobinémie acquise (toxique).","Dyspnée chronique : étiologie : Anomalie de
transport de l’oxygène",5
"Diagnostic d’élimination.
- Souvent jeune femme, se plaignant d’une dyspnée majeure.
- Contexte psychologique : anxiété avec attaque panique.
- Pauses et soupirs répétés, alcalose respiratoire.
- TTT : rééducation respiratoire par kiné spécialisé.","Dyspnée chronique : étiologie : Dyspnée
chronique psychogène",5
"Dyspnée en orthostatisme associée à une désaturation.
 Chercher un shunt droit-gauche (foramen ovale perméable) par une ETO avec test aux bulles.","Dyspnée chronique : étiologie : Dyspnée
chronique psychogène : Syndrome de
platypnée-orthodéoxie",5
"- Questionnaire CAT : évaluation de la qualité de vie liée à la santé respiratoire.
- Questionnaire Anxiété-Dépression ubiquitaire.",Dyspnée chronique : étiologie : répercussion,5
